score,y,ko_text
4.0,1,예약하고가서 방에서 편하게먹었습니다 평일인데도 손님이 너무많아서 감당이 안되시는듯그릇도 없고 반찬도 없어서 한참 그냥 앉아있었네요고기는 냉삼 맛나요 껍데기도 굿
3.0,0,맛있었는데 일하는사람이 너무 없어서 주문해도 안나와서 몇번 다시 주문했아요
5.0,1,놈나 맛있었어요 전부 다 셀프긴 하지만 그래서 가격도 매우 착함 단 예약은 필수
4.0,1,아 좋아요  여기 유투브 보고 갔는데 고기질도 괜찮고 밑반찬도 맛있고 가격도 저렴하고 사장님도 친절하시고 좋으심 다만 홀서버가 명이라 그런지 매장이 정리정돈이 안되어있고 메뉴 주문하기도 쪼끔 난감했음 이것만 보완이 된다면 아주아주 훌륭한 가게임미다
5.0,1,어쩌다가 유명 유투버 방송을 타서고기 좋고 가성비 진심 끝판왕
5.0,1,두번째 방문인데 직원분들 너무 친절하셨고맛있게 잘먹었어요 월달에 또 가려구요서비스로 주셨던 껍데기도 맛있었고 볶음밥도 최고번창하세요
4.0,1,맛있어요 불판을 갈아줬으면 더 좋을 거 같아요 
5.0,1,만족했습니다 
5.0,1,깨끗하고 맛있고 친절했어요
5.0,1,강남역에서 가까워 이용하기 좋고 매장도 깔끔하고 연기도 없어 좋았어요 무엇보다도 직원분들이 너무나 친절하게 대해주셔서 즐겁게 이용하고 왔습니다
3.0,0,고기굽는숯이 참숯이 아니고 기계로 찍어 만든  숯같은데 그 숯냄새가 오래앉아있다보니 너무 머리가 아팠다꼭 가스먹은것처럼 머리가 오래 아팠다 다른건 다좋은데 숯이 맘에 안든다 무슨숯인지 궁금하다
4.0,1,음식은 다 맛있었습니다 금요일이라 좀 정신없던 거 빼면 만족합니다
4.0,1,비록 예약에 문제가 있어 기분이 상하긴 했지만 전반적으로 좋았습니다 직원분들 친절하시고 위치도 접근성이 좋고 자주이용할듯 합니다
4.0,1,약간 춥긴했지만 맛있게 잘먹었습니데
5.0,1,정성껏 챙겨주신 직원분들 덕에 즐겁고 편한 시간 되었습니다
3.0,0,보통입니다
5.0,1,고기도 엄청맛있었고 서비스도 너무 좋았어요 기회가 된다면 또 재방문하고싶어요
3.0,0,가성비 떨어지구 인당 만원은 잡아야함샐러드도  예전보다 파스타면양이  줄었고  고구마 꼬치기  별미였는데  없어졌음
5.0,1,맛있고 좋습니다
5.0,1,깔끔하고 맛있었습니다
3.0,0,명 예약하고갔는데 넓은 인석 있음에도 좁은인석에 주어서 변경요청했으나 거절당했고요알바생들은 번씩은 불러야 대답을해주고 그마저도 불친절함고기는 또가고싶을 정도는 아님비쌈 대충 옷에 고기냄새 베기싫고 어색한 사람이랑 갈때 가는 곳 다신 안갈것
3.0,0,분위기 좋음 회식장소보다 데이트 하기 좋을듯대부분 친절하시지만 체격 있는 남자분 무서움 동료 여자 알바생한테는 장난스레 장난침 노랑 머리 여자분 무서움그냥 무서움
5.0,1,고기 냄새가 덜해서 좋았고 맛있었어요
5.0,1,맛있었어요 또 방문 예정
4.0,1,맛있어시어요
3.0,0,다양한 소수가 있었으면 좋을것 같아요맛은 좋아요  고기 냄새도 안나구
1.0,0,서빙이 느릿느릿 강남가격이라 비쌈답답함
5.0,1,잘먹었습니다
4.0,1,서비스나 분위기는 평타이나 고기는 맛있었다
4.0,1,맛있어요
5.0,1,맛있게 먹고갔어용 명란 조화 못잃어여
4.5,1,명란삼겹살 강추에요 너무 맛있어요 양도 푸짐하고 맛도 좋고 사장님도 친절하고 박자가 아주 좋은곳입니다
5.0,1,맛있습니다
4.5,1,아주 만족 고기 맛남
5.0,1,고기도 다 맛있고냉면도 맛있었어요서비스도 좋았는데사람이 많아서 호출 눌러도잘 못 보시더라구요그거 빼곤 너무 만족스러웠습니다
4.5,1,맛있고 친절했어요
5.0,1,맛있어요 점심에방문하기도괜찮네요 환풍이잘돼요 명란삼겹 구워도 맛있어요
4.5,1,미리 예약해서 방문했구요 음식맛 직원 친절 등 모두 만족합니다 다만 안쪽 좌식테이블에서 먹었는데  자리가 너무 좁아서 별 반개 뺍니다
5.0,1,호다닥 구워서 어미새가 아기새들에게 모이주듯이 빠르게먹었지만 넘넘 맛있었습니다또 가고싶을정도의 맛집이에요 
3.0,0,실내가 너무 더웠고 시끄럽게 소란스런 테이블 방관하던데 음식이 어디로 들어가는지 정신이 하나도 없었습니다
4.0,1,메뉴 등 우수 서비스 불만
4.0,1,맛도 괜찮고 구워주시면서 친절한 가게인 것 같아요 추천드려요
5.0,1,차돌삼합과 차돌 초밥 날치알 볶음밥 된장라면까지 너무 맛있게 잘 먹었습니다 
5.0,1,차돌삼합을 먹었는데 일일이 구워서 삼합을 조합해 주셔서 맛있게 잘 먹었습니다 감사합니다
5.0,1,진대감 삼합세트 혼자서 인분도 가능할거 같다 개인적으로 와사비 얹어서 장아나 백김치랑 먹는게 제일 굳 기름장에 푹 찍어 먹는 키조개 날개도 굳 그냥 진대감은굳굳
5.0,1,넘 맛있어요진대감 최고
5.0,1,고기먹는 방식이 창의적이었고 맛도 너무 맛났어요 만족했고 재방문 의사 입니당 
4.0,1,예약대로 잘 먹었습니다
5.0,1,서비스도 주시고 방도 주시고 좋았어요고기맛도 최고
5.0,1,늘 맛있게 먹고 갑니다
5.0,1,고기퀄러티도 좋고 아주 즐거운 식사를 했습니다 조용한 가족모임에 좋을 듯 합니다 그리고 육회는 슴슴한 양념으로 바꿨던데 입맛에 아주 잘 맞았어요 늘 감사드립니다
5.0,1,후기는 처음 남기네요바쁠때는 고기도 직접 구워야하고 주문도 늦게 나오지만 불편함 느낀적 없어요 그이상의 맛과 품질로 늘 다시 찾게 됩니다
3.0,0,고기 질은 좋았습니다 다만 종업원 분들의 응대가 느리고 지난번엔 고기를 직접 구워주시기도 했던것 같은데 이번엔 안 구워주시더라구요 물어보니 손님이 몰려서 바빠서 그랬다고 하시는데 식당엔 저희 말고 두팀인가만 더 있었는데 얼마나 바쁘셨던건지 모르겠습니다 가격에 비해 서비스는 높은 점수는 못 주겠네요
5.0,1,늘 만족스런 응대에 감사합니다
4.0,1,자주 가는곳인데 친절하고 맛이 좋은 집입니다가성비 좋고 모임하기 좋은  맛좋은 집  함 가보시길 추천합니다
3.0,0,추웟어요 고기 외에는 별로에요
1.0,0,고기질과 육전은 좋다다만 한우손님 돼지고기 손님을 차별한다돼지손님은 주차불가네이버예약시 약속한 간장게장보리굴비를 돼지손님은 주지 않는다예약정보에 돼지손님은 서비스 없다는걸 명시해서 낚이는 손님은 없어야 된다고 생각한다불판이 검댕이가 있어 교체를 했는데 똑같은 것이 또 나와 하는수 없이 내가 불판을 휴지로 닦고 고기를 구워 먹었다명성에 걸맞지 않은 점례네다
3.0,0,만족했습니다 맛있어요
2.0,0,족발 간이 좀 짠듯 합니다
5.0,1,네 서울대 족발이 그냥있는말이 아니네요  막국수도 너무 맛있게 잘 먹었습니다
5.0,1,고기가 매우 부드럽고 짜지 않아 좋네요
4.0,1,역시 명불허전 맛집족발은 역시 검증된곳에서내가 배고픈건지양은 아쉽 
4.0,1,역시 최고입니다
5.0,1,명불허전 입니다  정말 맛있고 즐거운 시간 보냈네요
4.0,1,음식이 매우 맛있었습니다
5.0,1,족발은 당연하고 막국수도 핵존맛
4.0,1,맛있어요 근데 너무 시끄러워요
5.0,1,직원분들 완전 친절했고요 고기는 입에서 녹았습니다 진짜 맛있었어요
5.0,1,가족 모임이었는데 고급스러운 분위기에 차분하게 식사할 수 있어서 만족하였습니다 음식 응대 모두 훌륭했네요 원래 다른 지점을 자주 갔었는데 강남점이 위치도 좋고 앞으로 자주 방문해야겠어요
5.0,1,미팅하면서 저녁식사 진행하였습니다 빔프로젝트 설치할 공간도 충분해서 고기를 맛있게 먹으면서 미팅을 진행할 수 있었습니다 만족스러운 자리였습니다
5.0,1,직원분들이 친절하고 좋았습니당 
5.0,1,부모님이랑 같이 갔는데 너무 좋아하셨어요 여전히 맛있고 서비스도 좋아요 가격이 올라서 눈물이 나지만 나중에 돈벌어서 또 갈게요
3.5,1,깔끔하고 괜찮아요고기는 가격에 비해 좀 아쉽긴 함콜키지 프리가 좋음
5.0,1,친절하고 맛있어요 
5.0,1,고기가 매우 맛있었습니다
5.0,1,예약하고 가니 빨리 자리 배정 받고 좋네요 다음에도 또 예약하고 가야겠어요 
5.0,1,스페셜 인 일반식사 물냉 깍두기볶음밥 먹었습니다고기는 맛있구 직원분이 직접구워주셔서 편했습니다
5.0,1,맛  막창 특양 강추드립니다      부드럽고 둘이 같이 먹으면 훨씬 맛있습니다      양밥도 강력추천 계속 땡기는 맛이에요 누룽지가 굿청결 및 서비스  가게가 깨끗하고 서빙하시는분도 엄청 친절했어요맛 등 모두 만족스러운 식사특히 에어드레서가 있어서 좋은듯합니다
2.0,0,맛도 가격도 크게 어디가 매력인지모르겠음
5.0,1,너무 맛있게 잘먹었습니다강남에서 이가격에 이정도라니 진짜 가격보고 두번놀랬습니다
4.0,1,가격은 낮췄지만 어차피 인분부터주문해야되는게 아쉬움  근데 맛있음
4.5,1,여기는 대창이 진짜 정말 너무너무 맛있음막창보다 대창 많이 드세요대창을 입에 넣는 순간입 안에서 사르르 녹아 없어짐네이버예약해서 염통 서비스로 주셨는데 너무 좋았음생각보다 막창은 별로라서 는 뺐어욤근데 대창이 진짜 너무너무 맛있음또 가야디
5.0,1,양이랑 대창 같이먹으면 더 맛있으니 처음부터 같이 한번에 시켜보세요사장님이 고기 너무 맛있게 구워주시고 같이 나오는 물김치상추겉절이도 너무 맛있었습니다
4.0,1,방문한날 사람이 별로 없어서 괜찮았는데사람많으면 시끄러울듯맛은 있는데 대창이 조금 짜고 양밥은 많이 짬직원들은 다 친절해서 좋고자리앉으면 물부터 가져다주셨음 좋겠음
5.0,1,굳굳 맛있고 쾌적하고 언제나 성공하는집
4.0,1,굉장히 친절하시고 양은 맛있는데요 대창이 좀 질겨요 익히는 방식이 잘못된건지 좀 아쉽네요
4.0,1,맛있었긴 한데 청계산 점이 더 맛있었어요
5.0,1,분위기 고급스럽고 고기도 맛있고 서비스도 좋네요
4.0,1,고기가 맛있었고 테이블이 최첨단이라 흥미로웠습니다다만 후식은 약간 종류와 맛이 아쉬웠던 것 같습니다
5.0,1,식당도 깔끔하고 고기도 맛있어요
3.5,1,인분  원에 비해 고기양이 적고 생각했던 두툼한 고기가 아니라 아쉬웠지만  바쁜 매장 틈에서 나름 친절했다 생각해요
5.0,1,자리도 많고 깨끗하고 고기도 맛있었습니다 사람이 많아서 그만큼 검증된 맛집이기도 합니다 조금 시끄러운 것 빼고는 다 만족스럽습니다 추천해요
4.0,1,내부시설 쾌적하고 고기 구워줘서 좋네요
5.0,1,맛있어요 점심정식 가성비 좋아요
5.0,1,프라이빗하게 먹을 수 있는 개별룸이 있어서 너무 좋아요연기도 안나고 냄새도 배지않아서 더 좋아요고기맛도 너무 맛있어요된장찌개 냉면 어느하나 맛이 없는게 없어요다음에 또 방문할게요
4.5,1,친절하게 서빙 해 주시고 고기까지 구워 주셔서 맛있게 잘 먹었습니다 
5.0,1,직접 고기 구워주고굽는 냄새도 적고고기도 맛있고넓지만 소음이 크지 않아회식이나 모임자리 하기 좋은 곳인것같아요
5.0,1,강남역 최고의 약속 장소인거 같아요 월 네이버 예약 이후 다시 방문했는데 직원분들 모두 매우 친절하시고 이전보다 더욱 좋아진 거 같아요 매니저님 바뀌신건가 덕분에 기분 좋은 금요일 보냈어요
4.0,1,친절 서비스도 좋았어요별하나 뺀것은  고기 안구워주는 곳인줄 몰랐어요 가격대가 있는 곳이니 당연히 구워주시는줄
5.0,1,프로모션을 하고 있어 친구들과 같이 갔는데 식사 중간중간 계속 신경써 주시고 프로모션 서비스도 친절히 안내해주셔서 즐거운 시간이었습니다
5.0,1,테이블 매니저님 너무 친절하시고 잘 챙겨주셔서 편안히 잘 먹었어요 음식도 아주 맛있었습니다
5.0,1,맛있어요 친절해요 아주 좋아요 원래 삼성동 고든점인가 거기 단골인데 요즘 여기 더 자주 가요핸드폰으로 식사메뉴 할인 해준다는 문자 받았는데 깜빡하고 안썼네요
5.0,1,예약 때 부터 매니저분이 정말 친절하셨습니다혜택도 다 챙겨주시고 갈때 마다 즐겁게 식사 할 수 있는 곳 같습니다
5.0,1,점심시간 쾌적하게 잘 다녀왔어요 매장 깔끔해요
5.0,1,서비스도 좋았고 음식도 다 너무 맛있게 잘 먹었습니다
5.0,1,맛있었어요 서비스도 좋았어요 
5.0,1,자리 간격이 넓어서 좋았어요
4.0,1,미리 예약하고 가서 더 편하게 먹었어요족발이랑 보쌈도 맛있었어요
4.0,1,보쌈이랑 쟁반국수 맛있었어요
3.0,0,음식은 맛있어요 칼국수도 개운하고 깔끔한 맛입니다대신 인이면 메뉴개 시켜야한다고 오자마자 그얘기부터 하시고 반찬멀어서 다른쪽도 달라고했더니 메뉴개당 개만된다고 안 주셨어요추가메뉴 시키니 그때 반찬하나 더 주시더라구요계산할때도 네이버 선결제금액 포함해서 금액얘기해서 메뉴 하나는 선결제했다고 빼고 계산했습니다
4.0,1,나쁘지 않았어요 사람이 많은게 아니었음에도 주문이 종종 누락되는건 아쉬웠습니다
5.0,1,항상 맛있고 친절한 서비스에 고맙습니다
4.0,1,맛있습니다
5.0,1,많은 인원을 수용할 수 있어서 너무 좋았습니다인테리어도 깔끔하고 좋은 분위기에서 좋은 사람들과 즐거운 시간을 보낸거 같아요다음에 또 예약 방문할게요
5.0,1,맛있게 잘 먹었습니다 감사합니다
4.0,1,잘 먹었습니다
5.0,1,강남에서 족발 생각나면 가는 곳불족발주먹밥 최고
4.0,1,깔끔했습니더
5.0,1,완전 맛있었어요
5.0,1,너무맛있었어요 서비스도 최고
5.0,1,너무 친절하시구 맛도 너무 좋아요 
5.0,1,쫀맛탱 사장님도 넘 친절하심다 껍데기가 신으 한수네유
4.0,1,더웠던것 빼곤 좋았습니다구석이라 너무 더웠구요 목살이랑 껍데기가 맛있어요
4.5,1,목살 육즙많고 맛있네요
5.0,1,지난주에 방문했었는데 이제야 리뷰남깁니다불금이라 차가 막힐걸 알았는데 예상보다 더 늦었어요한시간이나 지각했는데 일산에서부터 갔다니까 껍데기랑 김치찌개 서비스 주셔서 너무 맛있게 잘먹었습니다 껍데기 예술이었고 김치찌개에 밥말아 먹느라  맛난 쫄면남긴게 젤 아쉬웠어요 목살은 스테이크 먹는 것처럼 식감이 좋았고  쫀득살은  진짜 쫀득하고 맛있어서 인분 추가했네요반찬이며 나온 양념들이 최고여서 뭘 찍어먹을지 고민스러울 정도였어요껍데기 서비스까지총 인분을 딸이랑 먹어치웠네요 또가고싶어요진짜친절하신 직원분들 깨끗한 매장까지 맘에 쏙 들었거든요무엇보다 맛이
5.0,1,와 엄청 맛있네요 비싼게 이유가 있구나 목살 쫀득살 
5.0,1,완전 맛있엇어요
5.0,1,분위기 맛 친절도 다 좋아요  기념일이나 맛있는 거 대접하고 싶을 때 가셔도 좋을 것 같습니다
4.0,1,너무 맛나구 좋았어요 또 갈께요 
0.5,0,저녁 예약인데 시에 전화와서 앞에 예약이 있어서 늦어질수도 있다고 통보하는 개념 없는 식당
4.5,1,가격이 싸진않지만 바 같은 분위기에 인테리어테이블테이블세팅 모두 정갈하고 강남역 근처에서 양갈비 이정도 분위기에서 먹을 수 있는 곳은 여기 뿐일듯서버분들도 모두 친절하시고 맛있게 구워주시고밑반찬들도 맛있고 두번째 방문이었는데 또 또 재방문의사 프로 꼭 예약하고 가세요입소문났는지평일 저녁에도 만석이더라는
4.5,1,늘 만족해요
5.0,1,일요일 오후에는 바쪽에 사람들 조금 있는 편이고 홀에는 전체적으로 사람들이 없어서 조용하고 좋아요 서비스도 좋구 무엇보다 고기가 잡내도 안나고 너무 맛있었어요 고기 상태도 좋구 양도 적절한거 같아요 와인만 콜키지 프리여서 두병 가져갔구생일날 좋은 시간 보내고 왔어요
5.0,1,이미 알고있던 곳이라서 기대하고 갔고 만족했습니다 양고기도 다 맛있었어요 살치살도 추가로 시켰는데요 맛있는 점심이었어요 토요일 점심엔 런체 스페셜이 안되는걸 몰랐었지만 맛있게 먹었으니까 만족해요 제주 맥주도 너무 맛나서 낮술을 하게 되었네요 다 친절하시고 맛나게 구워주셔서 너무 좋았습니다
4.5,1,깔끔하고 정갈한 곳이었어요 친절하게 그워즈시고 좋았습니다다른 점도 방문해보고싶어요
5.0,1,맛도 서비스도 분위기도 다 좋았어요
5.0,1,조용하고 점심 메뉴도 훌륭 추가로 시킨 양갈비도 맛났습니다 생맥주도짱
5.0,1,저녁엔 역시 고기가 최고인것 같네요하룻동안 받은 스트레스 해소되는 느낌역시 맛있는게 최고
5.0,1,친절하게  굽는것도 도와주시고고기도 완전 부드럽고 맛있는데 가격도완전저렴
5.0,1,기분안좋을때 미테리언 고기먹으면 기분이너무 좋아지네요 고기가격도 착한데맛도좋아요
5.0,1,항상 맛있게 잘먹고 가요 
5.0,1,맛있게 잘 먹었습니다분위기도 고급지도 고기상태도 아주좋았네요
5.0,1,월급받을때마다매일 가는 미테리언최애 고깃집이예요
5.0,1,고깃집은 다 같다고생각했는데아니네요 미테리언은 진짜 너무 맛있어요
5.0,1,고기가 너무  맛있고 인테리어가 너무 이뻐요 먹기 너무 편했어요 잘 생긴 사장님이 음료를 서비스로 많이 주셔서 진짜 잘 먹고 갔어요  
5.0,1,맛있어요 고기 밑반찬도 잘나오고된장찌개랑 김치가 너무 맛있어서 밥도 뚝딱 하고 왔어요
5.0,1,저의 원픽 고깃집이예요 너무 잘나와서매일 가고싶은곳이예요잘 먹었어요
5.0,1,맛있고 서비스도 좋았습니다
5.0,1,만족스러운 식사 서비스 뚝빼기 전골까지 너무너무 완벽 자체였고볶음밥은 역대 먹어본 볶음밥 중 제일이엇어요 재방문 의사 잇음있음
5.0,1,맛있게 잘 먹었습니다
5.0,1,맛있고 너무 친절해요
5.0,1,역시나 맛있게 먹었어요 
5.0,1,
5.0,1,곱창맛집이에요 깍두기볶음밥도 굿 자주 방문할수밖에 없는 곳이에요
5.0,1,곱창에 곱이 많아서 계속 먹게 되네요너무 맛있어요
5.0,1,이제 단골되서 음료서비스 받음 진구 짱
5.0,1,진구곱창 믿고 찾는 단골식당입니다 맛으로 정성으로 최고의 곱창 맛집이며 애정하는 곳입니다
0.5,0,너무 북적북적하고 벨 눌러도 알바들이 불친절했어요 바닥관리도 제대로 안돼있구요
4.0,1,고기 배터지게 맛있게 먹고왔어요낮술하기 딱 좋네요
4.0,1,곱창에 곱이 많고 염통 곱창 둘다 맛있었어요불을 가장 약하게 했는데 불이 센지 기름과 곱이 사방으로 튀더라고요그래도 셀프바도 잘 구성되어 있고 가격도 저렴했어요할인 받아서
4.0,1,가격대비 괜찮아요 고기도맛있어요
3.5,1,네 다 좋았는데 바닥이 너무 미끄러웠습니다 뭐 여러가지 음식 하셔서 이해되지만다른 손님들도 느끼셨을거에용그외엔 괜찬았습니다
4.0,1,회식하기 좋은 장소 고기가 꽤 괜찮아서 맛있게 먹고 왔어요 된장찌개는 조금 별로
3.0,0, 더울때라 그런지 구석자리는 정말 더워요 바닦 너무 미끄러워서 잘못하면 넘어질것같아요
3.0,0,젤 싼거드세요곱창류는 별로그나마 우삼겹이랑 삼겹이 나음고기질은 쏘쏘
4.0,1,무난하게 괜찮았습니다
4.5,1,친철했어요
5.0,1,고기가 너무 맛있어용 한상구성 최고 저는 묵사발이 최애입니다 담에 남자친구랑 또 올게요
5.0,1,많도있고 서비스도 최고에요
5.0,1,자주 오는 곳인데 서비스고기맛 최고
5.0,1,밑반찬도 다양하게 잘나오고 서비스도 많아서 좋습니다 계란찜도 맛맛 담에 또 올게여
4.5,1,맛있게 잘먹었어요
5.0,1,여긴 최고에요 강력하게 추천합니다 최고존맛탱  강력히 추천
5.0,1,네이버로 예약 처음해봤는데 생각보다 괜찮네요 음식의 질은 물론 서울에서 정말 착한가격으로 배부르게 먹을 수 잇어서 넘 좋았어요 번창하세요후식까지 맘에드네요
5.0,1,세번째 재방문입니다역시 올때마다 푸짐해요기본찬도 많고 맛있고 고기도 푸짐푸짐 너무 맛있어요후식으로 아이스크림도 진짜 롯데리아 아이스크림보다 맛있습니당다음에도 또 올께요
5.0,1,너무 맛있어요 고기도 좋고 밑반찬으로 나오는 것도 다 맛있네요 교대역에서 고기집갈거면 항상 이곳으로 올 것 같애요 회식장소로도 아주 좋아요
4.0,1,첫 방문이었는데 직원분들도 친절하고 음식도 너무 맛있었어요다음에 또 가고 싶네요
5.0,1,고기 맛있고 직원분들 친절합니다
5.0,1,부담없이 맛있게 가성비 좋게 질 좋은 소고기를 먹을 수 있는 곳이예요 점심에 소고기에 와인 한잔 곁들이니 어느 레스토랑 부럽지않은 분위기도 너무 좋았네요
4.5,1,분위기드 좋고 맛도너무맛있었어요
5.0,1,가격도 좋고 고기 맛도 훌륭했습니다
5.0,1,가게 내부 분위기가 글램핑느낌나는 전구들로 꾸며져있어서 아늑하고 좋아요테이블수는 의외로 많아서 옆테이블과 거리두기하면서 식사할 수 있었습니다 고기도 가격대비 질이 좋아서 만족한 식사하고 갑니다
1.0,0, 만족
5.0,1,분위기도 좋고 가성비 좋은 강남 소고기 맛집입니다 와인도 저렴하서 소고기에 와인까지 맛있게 먹고 왔네요
4.5,1,맛도조코 다좋아요
5.0,1,사장님이 맛있고 고기가 친절해요
5.0,1,강남 고기꾼 김춘배는 언제나 맛있습니다좋은고기  친절한 서비스 등 모든게 만족이었어요재 방문의사 있으며 다시 네이버 예약할거에요 
2.5,0,염통 막창 쫄깃하니 맛있었어요곱창을 좋아하고 대창은 안좋아하는 편인데곱창이 대창스럽네요 지방 제거가 거의 안되어있어서 좀 느끼했어요
5.0,1,사장님도 친절하시고 조용하니 좋았습니다다음에 또 방문하겠습니다
5.0,1,주인아주머니가 굉장히 친절합니다곱창 김치말이국수 날치알볶음밥 맛있었어요
5.0,1,친절하세요 음식도 맛있어요 
5.0,1,친절하고 조아용
5.0,1,좋았습니다
5.0,1,맛있었고 친절했습니다
4.0,1,맛잇엇어요
5.0,1,사장님이 잘 챙겨주시고 필요한건 없는지도 물어봐주셔서 서비스도 좋고 맛있게 잘 먹고왔어요
4.0,1,곱창대창 맛있었어요 만족합니다
4.0,1,매장이 좀 시끄러운 것 빼곤 완벽
